ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs
159,Bebida Choco Avena,Hacendado,8402001014369,Autre boisson,185.0,44.0,0.3,2.4,60.0,0.15,1.2,1.0,0,9,D,52.0,C,NON,4,"e412, e418, e950, e955"
160,Organic soya drink,Plenish,5060362072263,Autre boisson,132.0,32.0,0.3,0.0,0.0,0.0,3.2,0.6,0,-5,B,89.0,A,OUI,0,
161,Innocent Smooth Orange Juice,Innocent,5038862102704,Jus de fruits,149.0,35.0,0.1,7.8,4.0,0.01,0.7,0.7,0,8,D,51.0,C,NON,0,
162,100% oranges sans pulpe,innocent,5038862162500,Jus de fruits,149.0,35.0,0.1,7.8,4.0,0.01,0.7,0.7,0,2,B,47.0,C,NON,0,
163,Zumo pura naranja con pulpa,Hacendado,8480000390325,Jus de fruits,189.0,44.0,0.0,9.3,0.0,0.0,0.7,0.8,0,7,D,55.0,C,NON,0,
164,Red Bull Energy Drink,Red Bull,90162565,Boisson énergisante,195.0,46.0,0.0,11.0,40.0,0.1,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,1,e150a
165,Jus d'orange avec pulpe,Innocent,5038862160506,Jus de fruits,156.0,36.0,0.0,7.8,0.0,0.0,0.7,0.85,0,3,C,52.0,C,NON,0,
166,Innocent jus ananas & fruit de la passion 900ml,Innocent,5038862166508,Jus de fruits,184.0,43.0,0.0,9.5,0.0,0.0,0.38,0.45,0,5,C,30.0,D,NON,0,
167,Énergie Chérie,innocent,5038862130462,Jus de fruits,181.0,43.0,0.01,9.8,0.0,0.0,0.18,0.0,0,11,E,28.0,E,NON,0,
168,Yaourt à boire sucré aromatisé,YoplaitYop,3329770063273,Boisson lactée,277.0,65.0,0.5,10.4,48.0,0.12,3.0,0.0,0,9,D,31.0,D,NON,0,
169,Coca-Cola,Coca-Cola,5000112638769,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,2,"e150d, e338"
170,Pepsi Zéro Sleek 33 cl,"Diet pepsi, Pepsi zero, Pepsico",3168930159742,Soda,2.0,0.4,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,6,"e150d, e330, e331, e338, e950, e951"
171,Boisson avoine BIO 1l,"Les Mousquetaires, Regain, Sélection des Mousquetaires",3250392243517,Boisson lactée,183.0,43.0,0.2,4.7,32.0,0.08,0.5,0.8,0,6,C,85.0,A,OUI,0,
172,Boisson avoine - 1L,"U, U Bio",3256223377406,Boisson lactée,182.0,43.0,0.2,5.0,32.0,0.08,0.5,0.8,0,6,C,82.0,A,OUI,0,
173,Eau Minérale Naturelle des Alpes,"Marque Repère, E.Leclerc, Leclerc",3564700126790,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
174,Organic Coconut Drink imp,Rude health,5060120282347,Boisson lactée,223.0,53.0,1.0,4.2,40.0,0.1,0.1,0.7,0,7,D,61.0,B,OUI,0,
175,Cola,Coca-Cola,5449000017888,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338"
176,"Sprite Zero 1,5L","Sprite, The Coca-Cola Company, Coca-Cola Europacific Partners DE",5449000110039,Soda,5.0,1.0,0.0,0.0,12.0,0.03,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,
